gene_id,gene_name,log2FC_RA_vs_OA,p_value
ADH7,ADH7,2.7188226002546565,0.046875
ADHFE1,ADHFE1,-0.07376433705910264,0.8310546875
ADI1,ADI1,-0.05599451964056454,0.3203125
ADIG,ADIG,0.34030238325238443,1.0
ADIPOR1,ADIPOR1,0.11356179233856735,0.240234375
ADIPOR2,ADIPOR2,-0.39504508910791303,0.0068359375
ADIRF,ADIRF,0.2967819902814172,0.51953125
ADK,ADK,0.07576533943969709,0.5771484375
ADM,ADM,-0.2956106772369011,0.0537109375
ADM2,ADM2,0.9256886812337981,0.0009765625
ADM5,ADM5,0.17781641526158745,0.4130859375
ADNP,ADNP,-0.0749331931373408,0.3203125
ADNP-AS1,ADNP-AS1,0.00569719436870207,0.7646484375
ADNP2,ADNP2,0.058421908801318485,0.2783203125
ADO,ADO,0.06177567512258805,0.2060546875
ADORA1,ADORA1,-0.3637792292493219,0.0048828125
ADORA2B,ADORA2B,0.0408900940695191,0.8984375
ADORA3,ADORA3,-1.587232693404816,0.5
ADPGK,ADPGK,0.07870138035413078,0.3203125
ADPGK-AS1,ADPGK-AS1,-0.14154143607546227,0.4130859375
ADPRH,ADPRH,-0.1678563371048481,0.1748046875
ADPRHL1,ADPRHL1,-0.5542501667986424,0.0830078125
ADPRM,ADPRM,-0.0053483766141922745,0.8310546875
ADPRS,ADPRS,0.2114050468706448,0.0244140625
ADRA1B,ADRA1B,0.1974470141094536,0.6376953125
ADRA1D,ADRA1D,2.518426941742579,0.013671875
ADRA2A,ADRA2A,-0.3963224282624427,0.3203125
ADRA2B,ADRA2B,-0.02346806557243115,0.8310546875
ADRA2C,ADRA2C,-0.16932169907886224,0.6376953125
ADRB2,ADRB2,0.46065009163481,0.6376953125
ADRM1,ADRM1,-0.03578505732264722,0.7001953125
ADSL,ADSL,0.2002674346291324,0.001953125
ADSS1,ADSS1,-0.8140952156581689,0.0537109375
ADSS2,ADSS2,0.0493437235795101,0.365234375
ADTRP,ADTRP,0.36207802874148315,0.4130859375
AEBP1,AEBP1,-0.28290368306822405,0.0419921875
AEBP2,AEBP2,-0.007936846020569018,0.7646484375
AEN,AEN,0.15725683209889918,0.0419921875
AFAP1,AFAP1,0.04862254601701067,1.0
AFAP1-AS1,AFAP1-AS1,-0.9333351283080374,1.0
AFAP1L1,AFAP1L1,0.4888103936162576,0.0830078125
AFAP1L2,AFAP1L2,-0.44737748864215665,0.25
AFDN,AFDN,-0.009100450115193984,0.8984375
AFDN-DT,AFDN-DT,0.016157605498448906,0.8310546875
AFF1,AFF1,-0.28496818412682146,0.0419921875
AFF1-AS1,AFF1-AS1,-0.01287161970765128,0.9658203125
AFF2,AFF2,0.35628253259123405,0.51953125
AFF3,AFF3,1.6341645444160215,0.0009765625
AFF4,AFF4,0.06212883660829311,0.2783203125
AFG1L,AFG1L,0.022814952701449096,0.8310546875
AFG3L1P,AFG3L1P,0.1483456977203071,0.0419921875
AFG3L2,AFG3L2,0.09728145082421881,0.009765625
AFMID,AFMID,0.1448362425334783,0.2060546875
AFP,AFP,0.7442465754951649,0.0244140625
AFTPH,AFTPH,0.003758421799580566,0.8984375
AGA,AGA,-0.04174198908530941,0.8310546875
AGAP1,AGAP1,-0.026126623566478473,0.8310546875
AGAP1-IT1,AGAP1-IT1,-0.3782426289187674,0.2060546875
AGAP10P,AGAP10P,-1.283150169391931,0.013671875
AGAP11,AGAP11,0.34157153182902217,0.51953125
AGAP12P,AGAP12P,0.14552929466400785,0.6376953125
AGAP2,AGAP2,0.03943007528930947,0.6376953125
AGAP2-AS1,AGAP2-AS1,-0.2650952697024878,0.1015625
